Date,Gold Price prices in USD per troy ounce,Events,Event Type,Event code,Year
2000-01,284.32,No event,None,0,2000
2000-02,299.86,No event,None,0,2000
2000-03,286.39,Dot-com Crash,Financial Crisis,1,2000
2000-04,279.69,Dot-com Crash,Financial Crisis,1,2000
2000-05,275.19,Dot-com Crash,Financial Crisis,1,2000
2000-06,285.73,Dot-com Crash,Financial Crisis,1,2000
2000-07,281.59,Dot-com Crash,Financial Crisis,1,2000
2000-08,274.47,Dot-com Crash,Financial Crisis,1,2000
2000-09,273.68,Dot-com Crash,Financial Crisis,1,2000
2000-10,270,Dot-com Crash,Financial Crisis,1,2000
2000-11,266.01,Dot-com Crash,Financial Crisis,1,2000
2000-12,271.45,Dot-com Crash,Financial Crisis,1,2000
2001-01,265.49,Dot-com Crash,Financial Crisis,1,2001
2001-02,261.87,Dot-com Crash,Financial Crisis,1,2001
2001-03,263.03,Dot-com Crash,Financial Crisis,1,2001
2001-04,260.48,Dot-com Crash,Financial Crisis,1,2001
2001-05,272.36,Dot-com Crash,Financial Crisis,1,2001
2001-06,270.23,Dot-com Crash,Financial Crisis,1,2001
2001-07,267.53,Dot-com Crash,Financial Crisis,1,2001
2001-08,272.39,Dot-com Crash,Financial Crisis,1,2001
2001-09,283.42,Dot-com Crash,Financial Crisis,1,2001
2001-10,283.06,Dot-com Crash,Financial Crisis,1,2001
2001-11,276.16,Dot-com Crash,Financial Crisis,1,2001
2001-12,275.85,Dot-com Crash,Financial Crisis,1,2001
2002-01,281.51,Dot-com Crash,Financial Crisis,1,2002
2002-02,295.5,Dot-com Crash,Financial Crisis,1,2002
2002-03,294.06,Dot-com Crash,Financial Crisis,1,2002
2002-04,302.68,Dot-com Crash,Financial Crisis,1,2002
2002-05,314.49,Dot-com Crash,Financial Crisis,1,2002
2002-06,321.18,Dot-com Crash,Financial Crisis,1,2002
2002-07,313.29,Dot-com Crash,Financial Crisis,1,2002
2002-08,310.26,Dot-com Crash,Financial Crisis,1,2002
2002-09,319.14,Dot-com Crash,Financial Crisis,1,2002
2002-10,316.56,Dot-com Crash,Financial Crisis,1,2002
2002-11,319.07,No event,None,0,2002
2002-12,331.92,No event,None,0,2002
2003-01,356.859,No event,None,0,2003
2003-02,358.97,No event,None,0,2003
2003-03,340.55,No event,None,0,2003
2003-04,328.18,No event,None,0,2003
2003-05,355.683,No event,None,0,2003
2003-06,356.352,No event,None,0,2003
2003-07,351.02,No event,None,0,2003
2003-08,359.768,No event,None,0,2003
2003-09,378.945,No event,None,0,2003
2003-10,378.92,No event,None,0,2003
2003-11,389.91,No event,None,0,2003
