Date,Price,Year,Month,Month_Sin,Month_Cos,Major_Event,Event_Label,Price_Lag1,Price_Lag2,Price_Lag3,Price_MA3,Price_MA6
01-06-2000,285.73,2000,6,1.22E-16,-1,None,4,275.19,279.69,286.39,280.2033333,285.1966667
01-07-2000,281.59,2000,7,-0.5,-0.866025404,None,4,285.73,275.19,279.69,280.8366667,284.7416667
01-08-2000,274.47,2000,8,-0.866025404,-0.5,None,4,281.59,285.73,275.19,280.5966667,280.51
01-09-2000,273.68,2000,9,-1,-1.84E-16,None,4,274.47,281.59,285.73,276.58,278.3916667
01-10-2000,270,2000,10,-0.866025404,0.5,None,4,273.68,274.47,281.59,272.7166667,276.7766667
01-11-2000,266.01,2000,11,-0.5,0.866025404,None,4,270,273.68,274.47,269.8966667,275.2466667
01-12-2000,271.45,2000,12,-2.45E-16,1,None,4,266.01,270,273.68,269.1533333,272.8666667
01-01-2001,265.49,2001,1,0.5,0.866025404,None,4,271.45,266.01,270,267.65,270.1833333
01-02-2001,261.87,2001,2,0.866025404,0.5,None,4,265.49,271.45,266.01,266.27,268.0833333
01-03-2001,263.03,2001,3,1,6.12E-17,None,4,261.87,265.49,271.45,263.4633333,266.3083333
01-04-2001,260.48,2001,4,0.866025404,-0.5,None,4,263.03,261.87,265.49,261.7933333,264.7216667
01-05-2001,272.36,2001,5,0.5,-0.866025404,None,4,260.48,263.03,261.87,265.29,265.78
01-06-2001,270.23,2001,6,1.22E-16,-1,None,4,272.36,260.48,263.03,267.69,265.5766667
01-07-2001,267.53,2001,7,-0.5,-0.866025404,None,4,270.23,272.36,260.48,270.04,265.9166667
01-08-2001,272.39,2001,8,-0.866025404,-0.5,None,4,267.53,270.23,272.36,270.05,267.67
01-09-2001,283.42,2001,9,-1,-1.84E-16,9/11 Terror Attacks,0,272.39,267.53,270.23,274.4466667,271.0683333
01-10-2001,283.06,2001,10,-0.866025404,0.5,None,4,283.42,272.39,267.53,279.6233333,274.8316667
01-11-2001,276.16,2001,11,-0.5,0.866025404,None,4,283.06,283.42,272.39,280.88,275.465
01-12-2001,275.85,2001,12,-2.45E-16,1,None,4,276.16,283.06,283.42,278.3566667,276.4016667
01-01-2002,281.51,2002,1,0.5,0.866025404,None,4,275.85,276.16,283.06,277.84,278.7316667
01-02-2002,295.5,2002,2,0.866025404,0.5,None,4,281.51,275.85,276.16,284.2866667,282.5833333
01-03-2002,294.06,2002,3,1,6.12E-17,None,4,295.5,281.51,275.85,290.3566667,284.3566667
